date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
1/1/2022,QAT,QAR,Qatar,13,3.641,3.570447679,-0.29158,-0.2794,-0.25871,0.05488,-0.06856,96781.56303,5.24873927,-0.37012,-0.44073,-0.40373,-0.11911,-0.36964,68581.039,249634.984
1/1/2022,ROU,RON,Romania,10.6,4.4119,2.402592987,-0.5233,-0.5151,-0.50118,-0.29016,-0.37322,29013.85501,3.817247721,-0.4172,-0.48253,-0.4483,-0.18495,-0.41676,14667.089,61021.203
1/1/2022,RUS,RUB,Russia,135,77.4175,1.743791778,-0.65401,-0.64806,-0.63796,-0.4848,-0.54509,33546.93339,3.913002226,-0.58736,-0.63362,-0.60938,-0.42291,-0.58704,12198.213,898578.573
1/1/2022,SAU,SAR,Saudi Arabia,15,3.7519,3.99797436,-0.20675,-0.19311,-0.16995,0.1812,0.04297,29619.16709,3.830034034,-0.03345,-0.1418,-0.08502,0.35174,-0.03271,23507.276,88152.283
1/1/2022,SGP,SGD,Singapore,5.9,1.35215,4.363421218,-0.13424,-0.11936,-0.09407,0.28917,0.13831,83543.333,4.969101446,-0.18691,-0.27806,-0.2303,0.13712,-0.18629,72794.906,97798.743
1/1/2022,SWE,SEK,Sweden,54,9.3341,5.78523907,0.14786,0.1676,0.20112,0.70924,0.50922,48051.62152,4.219392085,0.26958,0.12726,0.20183,0.77553,0.27055,60028.543,514838.802
1/1/2022,THA,THB,Thailand,128,33.295,3.844421084,-0.23722,-0.2241,-0.20183,0.13583,0.00291,9107.547711,3.39675673,0.04798,-0.06949,-0.00794,0.46562,0.04879,7336.086,231302.799
1/1/2022,TUR,TRY,Turkey,24.99,13.4155,1.862770676,-0.6304,-0.62405,-0.61325,-0.44965,-0.51405,17038.25324,3.564281031,-0.51608,-0.57032,-0.5419,-0.32323,-0.51571,9527.683,84481.339
1/1/2022,TWN,TWD,Taiwan,75,27.814,2.696483785,-0.46498,-0.45579,-0.44016,-0.20333,-0.29655,63604.70189,4.547927663,-0.451,-0.51254,-0.4803,-0.23221,-0.45058,33775.172,946498.54
1/1/2022,UKR,UAH,Ukraine,69,28.3673,2.432378126,-0.51739,-0.50909,-0.49499,-0.28136,-0.36545,9640.131517,3.408006767,-0.33913,-0.41321,-0.37439,-0.07576,-0.33862,4827.952,131977.991
1/1/2022,URY,UYU,Uruguay,239,44.0355,5.427439225,0.07687,0.09539,0.12684,0.60353,0.41588,15377.15004,3.529192709,0.42399,0.26437,0.34801,0.99148,0.42508,16756.344,729194.218
1/1/2022,USA,USD,United States,5.04,1,5.04,0,0.01719,0.0464,0.48906,0.31481,69231.4,4.666783251,0,-0.1121,-0.05336,0.39852,0.00077,69231.4,69231.4
1/1/2022,VEN,VES,Venezuela,23,4.5435,5.062176736,0.0044,0.02167,0.051,0.49561,0.3206,,,,,,,,1685.657,
1/1/2022,VNM,VND,Vietnam,69000,22650,3.046357616,-0.39556,-0.38517,-0.36752,-0.09996,-0.20528,6239.387771,3.336171138,-0.15449,-0.24927,-0.1996,0.18247,-0.15384,3724.543,85420189.72
1/1/2022,ZAF,ZAR,South Africa,39.9,15.47,2.57918552,-0.48826,-0.47946,-0.46451,-0.23798,-0.32715,12978.28737,3.47852032,-0.31345,-0.39041,-0.35008,-0.03984,-0.31292,6950.433,102744.775
7/1/2022,ARE,AED,United Arab Emirates,18,3.67305,4.900559481,-0.04844,0.02843,0.10373,0.73235,0.37774,45059.73559,4.12659789,0.04837,0.0064,0.11686,0.81952,0.21563,42883.686,157490.338
